Scenario,O2,N2,H2O,Ar,VR
(A1),0.14000000000000001,0.57999999999999996,6.80e-03,99.280000000000001,43
(A2),0.067000000000000004,0.28999999999999998,3.40e-03,99.640000000000001,29
(A3),0.044999999999999998,0.19,2.30e-03,99.760000000000005,29
(A4),0.68000000000000005,2.8799999999999999,0.034000000000000002,96.400000000000006,240
(A5),0.34000000000000002,1.4399999999999999,0.017000000000000001,98.200000000000003,216
(A6),0.23000000000000001,0.95999999999999996,0.010999999999999999,98.799999999999997,168
(A7),3.7999999999999998,28.800000000000001,0.34000000000000002,64.099999999999994,5156
(A8),3.3900000000000001,14.4,0.17000000000000001,82,3000
(A9),2.2999999999999998,9.5999999999999996,0.11,88,2520
(B1),0.14000000000000001,0.57999999999999996,6.80e-03,99.299999999999997,1770
(B2),0.68000000000000005,2.8599999999999999,0.034000000000000002,96.400000000000006,9050
(B3),6.5,27.100000000000001,0.34000000000000002,66.099999999999994,108000
(C1),7.8700000000000001,29.199999999999999,0.17999999999999999,62.700000000000003,2348
(C2),2.9300000000000002,10.9,0.028000000000000001,86.099999999999994,4750
(C3),1.77,6.5800000000000001,0.44,91.599999999999994,5951
(C4),1.0600000000000001,3.9500000000000002,0.029000000000000001,95,7151
(C5),7.8799999999999999,29.300000000000001,0.087999999999999995,64.700000000000003,2344
(C6),2.9300000000000002,10.9,0.035000000000000003,86.099999999999994,4747
(C7),1.77,6.5899999999999999,0.023,91.599999999999994,5948
(C8),1.0600000000000001,3.9500000000000002,0.014999999999999999,95,7148
(C9),7.7000000000000002,28.600000000000001,0.17999999999999999,63.5,2275
(C10),2.7400000000000002,10.199999999999999,0.071999999999999995,87,4677
(C11),1.6000000000000001,5.9800000000000004,0.045999999999999999,92.400000000000006,5880
(C12),0.94999999999999996,3.6099999999999999,0.029000000000000001,95.400000000000006,7090
(C13),7.79,28.899999999999999,0.094,63.200000000000003,2300
(C14),2.8199999999999998,10.5,0.039,86.599999999999994,4703
(C15),1.6699999999999999,6.2000000000000002,0.025999999999999999,92.099999999999994,5904
(C16),0.95999999999999996,3.6000000000000001,0.017999999999999999,95.400000000000006,7105
(C17),7.54,28,0.050999999999999997,64.400000000000006,2302
(C18),2.6800000000000002,9.9700000000000006,0.024,87.299999999999997,4681
(C19),1.53,5.6699999999999999,0.017000000000000001,92.799999999999997,5906
(C20),0.87,3.2599999999999998,0.012999999999999999,95.900000000000006,7061
(C21),7.5899999999999999,28.199999999999999,0.032000000000000001,64.200000000000003,2208
(C22),2.6000000000000001,9.6500000000000004,0.017000000000000001,87.700000000000003,4612
(C23),1.45,5.3899999999999997,0.012999999999999999,93.200000000000003,5813
(C24),0.77000000000000002,2.9500000000000002,0.010999999999999999,96.299999999999997,7018
(C25),7.4900000000000002,27.800000000000001,0.021999999999999999,64.700000000000003,2163
(C26),2.48,9.2200000000000006,0.014,88.299999999999997,4566
(C27),1.3400000000000001,4.9699999999999998,0.012,93.700000000000003,5768
(C28),0.68999999999999995,2.6699999999999999,0.01,96.599999999999994,6977
