Scenario,O2,N2,H2O,Ar,VR,VI
(C1),7.8700000000000001,29.199999999999999,0.17999999999999999,62.700000000000003,2348,2400
(C2),2.9300000000000002,10.9,0.028000000000000001,86.099999999999994,4750,4800
(C3),1.77,6.5800000000000001,0.44,91.599999999999994,5951,6000
(C4),1.0600000000000001,3.9500000000000002,0.029000000000000001,95,7151,7200
(C5),7.8799999999999999,29.300000000000001,0.087999999999999995,64.700000000000003,2344,2400
(C6),2.9300000000000002,10.9,0.035000000000000003,86.099999999999994,4747,4800
(C7),1.77,6.5899999999999999,0.023,91.599999999999994,5948,6000
(C8),1.0600000000000001,3.9500000000000002,0.014999999999999999,95,7148,7200
(C9),7.7000000000000002,28.600000000000001,0.17999999999999999,63.5,2275,2400
(C10),2.7400000000000002,10.199999999999999,0.071999999999999995,87,4677,4800
(C11),1.6000000000000001,5.9800000000000004,0.045999999999999999,92.400000000000006,5880,6000
(C12),0.94999999999999996,3.6099999999999999,0.029000000000000001,95.400000000000006,7090,7200
